Optimal circular master production schedule

------------------------------------------------------------
 Product | Period | Inventory | Production | Sales | Demand 
------------------------------------------------------------
       1 |      1 |      4.00 |       0.00 |  4.00 |   4.40 
       1 |      2 |      0.00 |       0.00 |  0.00 |   2.40 
       1 |      3 |      0.00 |       0.00 |  0.00 |   0.94 
       1 |      4 |      0.00 |       0.00 |  0.00 |   0.40 
       1 |      5 |      0.00 |       1.26 |  1.26 |   1.40 
       1 |      6 |      0.00 |       4.20 |  4.20 |   4.20 
       1 |      7 |      0.00 |       5.19 |  5.19 |   5.50 
       1 |      8 |      0.00 |       2.22 |  2.22 |   9.60 
       1 |      9 |      0.00 |       8.50 |  8.50 |  11.80 
       1 |     10 |      0.00 |       6.00 |  6.00 |  12.60 
       1 |     11 |      0.00 |       3.57 |  3.57 |   7.86 
       1 |     12 |      0.00 |       3.63 |  3.63 |  11.20 
       2 |      1 |      4.00 |       0.00 |  1.29 |   1.29 
       2 |      2 |      2.71 |       0.00 |  0.71 |   0.71 
       2 |      3 |      2.00 |       0.00 |  0.85 |   0.85 
       2 |      4 |      1.15 |       0.00 |  1.15 |   3.36 
       2 |      5 |      0.00 |       0.00 |  0.00 |   5.26 
       2 |      6 |      0.00 |       0.00 |  0.00 |   6.23 
       2 |      7 |      0.00 |       0.00 |  0.00 |   7.77 
       2 |      8 |      0.00 |       0.00 |  0.00 |   8.40 
       2 |      9 |      0.00 |       0.00 |  0.00 |  11.93 
       2 |     10 |      0.00 |       0.00 |  0.00 |   9.84 
       2 |     11 |      0.00 |       0.00 |  0.00 |   5.74 
       2 |     12 |      0.00 |       0.00 |  0.00 |   3.85 
       3 |      1 |      4.00 |       0.00 |  0.76 |   0.76 
       3 |      2 |      3.24 |       0.00 |  2.60 |   2.60 
       3 |      3 |      0.63 |       0.00 |  0.63 |   4.02 
       3 |      4 |      0.00 |       0.00 |  0.00 |   9.10 
       3 |      5 |      0.00 |       0.00 |  0.00 |  11.49 
       3 |      6 |      0.00 |       0.00 |  0.00 |   8.38 
       3 |      7 |      0.00 |       0.00 |  0.00 |  10.05 
       3 |      8 |      0.00 |       0.00 |  0.00 |   8.40 
       3 |      9 |      0.00 |       0.00 |  0.00 |   7.17 
       3 |     10 |      0.00 |       0.00 |  0.00 |   4.79 
       3 |     11 |      0.00 |       0.00 |  0.00 |   1.14 
